Name of Neighborhood,Number of Stops,Number of Routes,Population (2010),Sq Miles,Bus Stop Density,Routes
DOWNTOWN,238,61,16716,2.71,87.8228782288,", 51, 52, 11, 413, 810, 910, 30, 48, 151, 20, 236, 244, 246, 247, 249, 710, 40, 41, 711, 714, 305, 137, 6, 255, 257, 221, 228, 229, 412, 304, 54, 160, 161, 162, 85, 303, 306, 44, 202, 212, 262, 32, 82, 102, 108, 308, 256, 259, 214, 216, 261, 219, 265, 269, 222, 217, 299, 204, 209, 283, 302"
MEDICAL CENTER AREA,86,20,45294,1.17,73.5042735043,", 4, 14, 41, 68, 56, 84, 28, 60, 87, 27, 2, 10, 11, 297, 710, 292, 298, 170, 305, 402"
MIDTOWN,90,23,3503,1.24,72.5806451613,", 32, 25, 82, 283, 54, 710, 44, 102, 108, 11, 9, 261, 151, 5, 65, 152, 153, 85, 137, 262, 265, 269, 303"
GREATER FIFTH WARD,265,12,19823,5,53,", 11, 48, 3, 29, 80, 66, 77, 6, 30, 28, 78, 137"
MUSEUM PARK,27,6,28957,0.56,48.2142857143,", 5, 65, 11, 292, 710, 25"
UNIVERSITY PLACE,127,14,15811,2.76,46.0144927536,", 56, 292, 298, 4, 14, 41, 68, 65, 84, 9, 2, 10, 27, 402"
GREATER OST / SOUTH UNION,192,9,13295,4.3,44.6511627907,", 29, 54, 360, 60, 87, 28, 5, 80, 910"
GREATER THIRD WARD,116,8,49277,2.9,40,", 29, 4, 9, 25, 54, 910, 11, 80"
MACGREGOR,135,13,17684,3.4,39.7058823529,", 29, 25, 910, 4, 5, 54, 28, 60, 360, 11, 87, 297, 80"
FOURTH WARD,18,3,3881,0.47,38.2978723404,", 32, 40, 41"
GREENWAY / UPPER KIRBY AREA,109,8,12583,2.97,36.7003367003,", 9, 65, 41, 84, 82, 25, 283, 27"
GULFTON,103,8,3158,2.84,36.2676056338,", 49, 33, 2, 47, 9, 65, 402, 32"
NEARTOWN - MONTROSE,144,8,26831,4,36,", 56, 82, 25, 32, 298, 40, 41, 27"
GREATER EASTWOOD,67,15,11276,1.88,35.6382978723,", 40, 41, 50, 76, 80, 29, 910, 4, 9, 25, 244, 246, 247, 249, 302"
BRAESWOOD,103,6,20721,3.12,33.0128205128,", 14, 41, 10, 68, 4, 2"
GREATER HEIGHTS,246,7,40865,7.468,32.940546331,", 30, 44, 56, 26, 40, 66, 27"
NEAR NORTHSIDE,153,8,26963,4.68,32.6923076923,", 26, 3, 51, 52, 79, 66, 714, 710"
